"gid","flsid","date","venue","doorprice","attendance","recorded_by","mastered_by","original_source","tour","city","subdivision","country","year","checked","x","y","sound_quality","seconds"
"detroit-mi-usa-100195","FLS0723",1995-10-01,"State Theater","6",3000,"Joey Picuri","Jerry Busher","DAT","1995 Fall USA/Canada Tour","Detroit","MI","USA",1995,1,-83.051726,42.3378093,"Good",4798
"detroit-mi-usa-50998","FLS0857",1998-05-09,"State Theater","6",2400,"Nick Pellicciotto","Warren Russell-Smith","DAT","1998 Spring USA Tour","Detroit","MI","USA",1998,1,-83.051726,42.3378093,"Very Good",5298
"detroit-mi-usa-62290","FLS0235",1990-06-22,"St. Dominick's Church","5",700,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Spring/Summer USA Tour","Detroit","MI","USA",1990,1,-83.077619,42.3522837,"Poor",4883
"detroit-mi-usa-80591","FLS0373",1991-08-05,"Majestic Theater","5",1200,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Summer/Fall USA/Canada Tour","Detroit","MI","USA",1991,1,-83.060108,42.351443,"Very Good",4230
"diksmuide-belgium-52692","FLS0450",1992-05-26,"Boterhalle",NA,445,"Joey Picuri","Warren Russell-Smith","Cassette","1992 Spring European Tour","Diksmuide","","Belgium",1992,1,2.8643,51.0329364,"Good",5383
"dornbirn-austria-101890","FLS0286",1990-10-18,"Stadt Halle","100 AS",450,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Fall European Tour","Dornbirn","","Austria",1990,1,9.745013,47.4141302,"Very Good",4290
"dortmund-germany-63092","FLS0480",1992-06-30,"Music Circus",NA,1300,"Joey Picuri","Warren Russell-Smith","Cassette","1992 Spring European Tour","Dortmund","","Germany",1992,1,7.488318,51.5203443,"Very Good",3853
"dortmund-germany-70395","FLS0705",1995-07-03,"Soundgarden",NA,900,"Joey Picuri","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Dortmund","","Germany",1995,1,7.480399,51.5149691,"Poor",5105
"dublin-ireland-102502","FLS1036",2002-10-25,"Red Box",NA,1618.75,"Michael and Jane Sanderson",NA,"Cassette","2002 Fall UK/Ireland Tour","Dublin",NA,"Ireland",2002,1,-6.262407,53.3334175,"Good",5431
"dublin-ireland-112389","FLS0161",1989-11-23,"McGonagles","3 Irish Punts",500,"ANON",NA,"Cassette","1989 Fall European Tour","Dublin","","Ireland",1989,1,-6.258767,53.3409553,"Good",2871
"dublin-ireland-112988","FLS0086",1988-11-29,"McGonagles",NA,198.714285714286,"ANON","Warren Russell-Smith",NA,"1988 Fall European Tour","Dublin","","Ireland",1988,1,-6.258767,53.3409553,"Poor",1995
"dublin-ireland-50999","FLS0918",1999-05-09,"Temple Bar Music Center","7(punts)",650,"Joey Picuri","Warren Russell-Smith","DAT","1999 Spring UK/Ireland Tour","Dublin",NA,"Ireland",1999,1,-6.264367,53.3450708,"Very Good",5796
"dublin-ireland-51095","FLS0660",1995-05-10,"Ormond Center",NA,1000,"Joey Picuri","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Dublin",NA,"Ireland",1995,1,-6.265855,53.3463585,"Good",4934
