"gid","fls_link","year","tour","date","venue","city","country","played_with","attendance","sound_quality","latitude","longitude"
"amsterdam-netherlands-101688","<a href='https://www.dischord.com/fugazi_live_series/amsterdam-netherlands-101688' target='_blank'>amsterdam-netherlands-101688</a>",1988,"1988 Fall European Tour",1988-10-16,"Van Hall","Amsterdam","Netherlands","Subterranean Kids",199,"Good",52.3797524,4.871879
"amsterdam-netherlands-110389","<a href='https://www.dischord.com/fugazi_live_series/amsterdam-netherlands-110389' target='_blank'>amsterdam-netherlands-110389</a>",1989,"1989 Fall European Tour",1989-11-03,"Vranckrijk","Amsterdam","Netherlands","Swamp surfers",350,"Good",52.3716309,4.889134
"amsterdam-netherlands-110790","<a href='https://www.dischord.com/fugazi_live_series/amsterdam-netherlands-110790' target='_blank'>amsterdam-netherlands-110790</a>",1990,"1990 Fall European Tour",1990-11-07,"Paradiso","Amsterdam","Netherlands","The Ex",1200,"Very Good",52.3621619,4.883805
"amsterdam-netherlands-120989","<a href='https://www.dischord.com/fugazi_live_series/amsterdam-netherlands-120989' target='_blank'>amsterdam-netherlands-120989</a>",1989,"1989 Fall European Tour",1989-12-09,"Melkweg","Amsterdam","Netherlands","Visions of Change",452,"Good",52.364786,4.881248
"amsterdam-netherlands-50192","<a href='https://www.dischord.com/fugazi_live_series/amsterdam-netherlands-50192' target='_blank'>amsterdam-netherlands-50192</a>",1992,"1992 Spring European Tour",1992-05-01,"Paradiso","Amsterdam","Netherlands","De Kift",1200,"Good",52.3621619,4.883805
"amsterdam-netherlands-50192","<a href='https://www.dischord.com/fugazi_live_series/amsterdam-netherlands-50192' target='_blank'>amsterdam-netherlands-50192</a>",1992,"1992 Spring European Tour",1992-05-01,"Paradiso","Amsterdam","Netherlands","JamJar",1200,"Good",52.3621619,4.883805
"amsterdam-netherlands-50192","<a href='https://www.dischord.com/fugazi_live_series/amsterdam-netherlands-50192' target='_blank'>amsterdam-netherlands-50192</a>",1992,"1992 Spring European Tour",1992-05-01,"Paradiso","Amsterdam","Netherlands","Shudder to Think",1200,"Good",52.3621619,4.883805
"amsterdam-netherlands-50192","<a href='https://www.dischord.com/fugazi_live_series/amsterdam-netherlands-50192' target='_blank'>amsterdam-netherlands-50192</a>",1992,"1992 Spring European Tour",1992-05-01,"Paradiso","Amsterdam","Netherlands","Tom Cora",1200,"Good",52.3621619,4.883805
"amsterdam-netherlands-51795","<a href='https://www.dischord.com/fugazi_live_series/amsterdam-netherlands-51795' target='_blank'>amsterdam-netherlands-51795</a>",1995,"1995 Spring/Summer European Tour",1995-05-17,"Paradiso","Amsterdam","Netherlands","Sebadoh",1300,"Very Good",52.3621619,4.883805
"amsterdam-netherlands-90490","<a href='https://www.dischord.com/fugazi_live_series/amsterdam-netherlands-90490' target='_blank'>amsterdam-netherlands-90490</a>",1990,"1990 Fall European Tour",1990-09-04,"Paradiso","Amsterdam","Netherlands","So Much Hate",1000,"Very Good",52.3621619,4.883805
"amsterdam-netherlands-90490","<a href='https://www.dischord.com/fugazi_live_series/amsterdam-netherlands-90490' target='_blank'>amsterdam-netherlands-90490</a>",1990,"1990 Fall European Tour",1990-09-04,"Paradiso","Amsterdam","Netherlands","Thatcher on Acid",1000,"Very Good",52.3621619,4.883805
"amsterdam-netherlands-91699","<a href='https://www.dischord.com/fugazi_live_series/amsterdam-netherlands-91699' target='_blank'>amsterdam-netherlands-91699</a>",1999,"1999 Fall European Tour",1999-09-16,"Paradiso","Amsterdam","Netherlands","Lowlife",1200,"Very Good",52.3621619,4.883805
"anchorage-ak-usa-110195","<a href='https://www.dischord.com/fugazi_live_series/anchorage-ak-usa-110195' target='_blank'>anchorage-ak-usa-110195</a>",1995,"1995 Fall USA/Canada Tour",1995-11-01,"Egan Center","Anchorage","USA","Freedom 49",2050,"Very Good",61.2177359,-149.891653
"angers-france-52595","<a href='https://www.dischord.com/fugazi_live_series/angers-france-52595' target='_blank'>angers-france-52595</a>",1995,"1995 Spring/Summer European Tour",1995-05-25,"Chabada","Angers","France","Prohibition",1280,"Very Good",47.4893112,-0.536795
"ann-arbor-mi-usa-62390","<a href='https://www.dischord.com/fugazi_live_series/ann-arbor-mi-usa-62390' target='_blank'>ann-arbor-mi-usa-62390</a>",1990,"1990 Spring/Summer USA Tour",1990-06-23,"University of Michigan Ballrooom","Ann Arbor","USA","Phünhögg",450,"Poor",42.2752282,-83.741514
"ann-arbor-mi-usa-62390","<a href='https://www.dischord.com/fugazi_live_series/ann-arbor-mi-usa-62390' target='_blank'>ann-arbor-mi-usa-62390</a>",1990,"1990 Spring/Summer USA Tour",1990-06-23,"University of Michigan Ballrooom","Ann Arbor","USA","Ward",450,"Poor",42.2752282,-83.741514
"annapolis-md-usa-20688","<a href='https://www.dischord.com/fugazi_live_series/annapolis-md-usa-20688' target='_blank'>annapolis-md-usa-20688</a>",1988,"1988 Winter/Spring Regional Dates",1988-02-06,"Unitarian Church","Annapolis","USA","Images",75,"Good",38.9990565,-76.524525
"annapolis-md-usa-20688","<a href='https://www.dischord.com/fugazi_live_series/annapolis-md-usa-20688' target='_blank'>annapolis-md-usa-20688</a>",1988,"1988 Winter/Spring Regional Dates",1988-02-06,"Unitarian Church","Annapolis","USA","Moss Icon",75,"Good",38.9990565,-76.524525
"arras-france-52095","<a href='https://www.dischord.com/fugazi_live_series/arras-france-52095' target='_blank'>arras-france-52095</a>",1995,"1995 Spring/Summer European Tour",1995-05-20,"Le Pharos","Arras","France","Cooper",315,"Good",50.3019331,2.74857
"asheville-nc-usa-32402","<a href='https://www.dischord.com/fugazi_live_series/asheville-nc-usa-32402' target='_blank'>asheville-nc-usa-32402</a>",2002,"2002 Spring Southern USA/Texas Tour",2002-03-24,"Asheville Music Zone","Asheville","USA","Francis",1619,"Very Good",35.5948675,-82.553025
"athens-ga-usa-121899","<a href='https://www.dischord.com/fugazi_live_series/athens-ga-usa-121899' target='_blank'>athens-ga-usa-121899</a>",1999,"1999 Fall/Winter Southern USA Tour",1999-12-18,"40 Watt","Athens","USA","Allscars",900,"Very Good",33.9582921,-83.380061
