"gid","fls_link","year","tour","date","venue","city","country","played_with","attendance","sound_quality","latitude","longitude"
"college-station-tx-usa-52688","<a href='https://www.dischord.com/fugazi_live_series/college-station-tx-usa-52688' target='_blank'>college-station-tx-usa-52688</a>",1988,"1988 Spring USA Tour",1988-05-26,"Eastgate Live","College Station","USA","Bad Mutha Goose",199,"Poor",30.6246076,-96.330157
"college-station-tx-usa-52688","<a href='https://www.dischord.com/fugazi_live_series/college-station-tx-usa-52688' target='_blank'>college-station-tx-usa-52688</a>",1988,"1988 Spring USA Tour",1988-05-26,"Eastgate Live","College Station","USA","Hostile Union",199,"Poor",30.6246076,-96.330157
"colorado-springs-co-usa-40701","<a href='https://www.dischord.com/fugazi_live_series/colorado-springs-co-usa-40701' target='_blank'>colorado-springs-co-usa-40701</a>",2001,"2001 Spring Western USA Tour",2001-04-07,"Colorado Music Hall","Colorado Springs","USA","Go Go Go Airheart",900,"Excellent",38.8317571,-104.785385
"columbia-md-usa-42790","<a href='https://www.dischord.com/fugazi_live_series/columbia-md-usa-42790' target='_blank'>columbia-md-usa-42790</a>",1990,"1990 Spring Regional Dates",1990-04-27,"Atholton High School Gym","Columbia","USA","Bonehead",350,"Good",39.1882852,-76.88057
"columbia-md-usa-42790","<a href='https://www.dischord.com/fugazi_live_series/columbia-md-usa-42790' target='_blank'>columbia-md-usa-42790</a>",1990,"1990 Spring Regional Dates",1990-04-27,"Atholton High School Gym","Columbia","USA","Holy Rollers",350,"Good",39.1882852,-76.88057
"columbia-mo-usa-41901","<a href='https://www.dischord.com/fugazi_live_series/columbia-mo-usa-41901' target='_blank'>columbia-mo-usa-41901</a>",2001,"2001 Spring Western USA Tour",2001-04-19,"Blue Note","Columbia","USA","Star Death",1000,"Very Good",38.952167,-92.327779
"columbia-mo-usa-60391","<a href='https://www.dischord.com/fugazi_live_series/columbia-mo-usa-60391' target='_blank'>columbia-mo-usa-60391</a>",1991,"1991 Spring USA Tour",1991-06-03,"Blue Note","Columbia","USA","Church of Bowling",400,"Good",38.952167,-92.327779
"columbia-mo-usa-82793","<a href='https://www.dischord.com/fugazi_live_series/columbia-mo-usa-82793' target='_blank'>columbia-mo-usa-82793</a>",1993,"1993 Fall USA/Canada Tour",1993-08-27,"Blue Note","Columbia","USA","Poster Children",1000,"Very Good",38.952167,-92.327779
"columbia-mo-usa-82793","<a href='https://www.dischord.com/fugazi_live_series/columbia-mo-usa-82793' target='_blank'>columbia-mo-usa-82793</a>",1993,"1993 Fall USA/Canada Tour",1993-08-27,"Blue Note","Columbia","USA","Prozac Memory",1000,"Very Good",38.952167,-92.327779
"columbia-sc-usa-20793","<a href='https://www.dischord.com/fugazi_live_series/columbia-sc-usa-20793' target='_blank'>columbia-sc-usa-20793</a>",1993,"1993 Winter Southern USA Tour",1993-02-07,"National Guard Armory","Columbia","USA","134",700,"Good",33.968987,-81.016588
"columbia-sc-usa-20793","<a href='https://www.dischord.com/fugazi_live_series/columbia-sc-usa-20793' target='_blank'>columbia-sc-usa-20793</a>",1993,"1993 Winter Southern USA Tour",1993-02-07,"National Guard Armory","Columbia","USA","Lay Quiet Awhile",700,"Good",33.968987,-81.016588
"columbia-sc-usa-20793","<a href='https://www.dischord.com/fugazi_live_series/columbia-sc-usa-20793' target='_blank'>columbia-sc-usa-20793</a>",1993,"1993 Winter Southern USA Tour",1993-02-07,"National Guard Armory","Columbia","USA","Slant 6",700,"Good",33.968987,-81.016588
"columbia-sc-usa-32496","<a href='https://www.dischord.com/fugazi_live_series/columbia-sc-usa-32496' target='_blank'>columbia-sc-usa-32496</a>",1996,"1996 Southern USA Tour",1996-03-24,"Clyde's","Columbia","USA","Ghetto Blaster",400,"Very Good",34.002328,-81.01724
"columbia-sc-usa-50289","<a href='https://www.dischord.com/fugazi_live_series/columbia-sc-usa-50289' target='_blank'>columbia-sc-usa-50289</a>",1989,"1989 Spring USA Tour",1989-05-02,"Dance Graphics","Columbia","USA","Bedlam Hour",60,NA,34.0032201,-81.017513
"columbia-sc-usa-51091","<a href='https://www.dischord.com/fugazi_live_series/columbia-sc-usa-51091' target='_blank'>columbia-sc-usa-51091</a>",1991,"1991 Spring USA Tour",1991-05-10,"Rockefella's","Columbia","USA","Bedlam Hour",500,"Good",33.9987188,-81.01501
"columbus-oh-usa-100395","<a href='https://www.dischord.com/fugazi_live_series/columbus-oh-usa-100395' target='_blank'>columbus-oh-usa-100395</a>",1995,"1995 Fall USA/Canada Tour",1995-10-03,"Newport","Columbus","USA","Branch Manager",1621,"Good",39.9974613,-83.007404
"columbus-oh-usa-100395","<a href='https://www.dischord.com/fugazi_live_series/columbus-oh-usa-100395' target='_blank'>columbus-oh-usa-100395</a>",1995,"1995 Fall USA/Canada Tour",1995-10-03,"Newport","Columbus","USA","Make Up",1621,"Good",39.9974613,-83.007404
"columbus-oh-usa-50398","<a href='https://www.dischord.com/fugazi_live_series/columbus-oh-usa-50398' target='_blank'>columbus-oh-usa-50398</a>",1998,"1998 Spring USA Tour",1998-05-03,"Newport","Columbus","USA","Quixotic",1200,"Very Good",39.9974613,-83.007404
"columbus-oh-usa-50398","<a href='https://www.dischord.com/fugazi_live_series/columbus-oh-usa-50398' target='_blank'>columbus-oh-usa-50398</a>",1998,"1998 Spring USA Tour",1998-05-03,"Newport","Columbus","USA","Scrawl",1200,"Very Good",39.9974613,-83.007404
"columbus-oh-usa-53193","<a href='https://www.dischord.com/fugazi_live_series/columbus-oh-usa-53193' target='_blank'>columbus-oh-usa-53193</a>",1993,"1993 Spring USA Tour",1993-05-31,"Newport","Columbus","USA","Skinwhig",1400,"Very Good",39.9974613,-83.007404
"columbus-oh-usa-61291","<a href='https://www.dischord.com/fugazi_live_series/columbus-oh-usa-61291' target='_blank'>columbus-oh-usa-61291</a>",1991,"1991 Spring USA Tour",1991-06-12,"Newport","Columbus","USA","Carbuncle",700,"Good",39.9974613,-83.007404
"conway-ar-usa-112498","<a href='https://www.dischord.com/fugazi_live_series/conway-ar-usa-112498' target='_blank'>conway-ar-usa-112498</a>",1998,"1998 Fall Mid-West USA Tour",1998-11-24,"Hendrix University, Hulen Ballroom","Conway","USA","Shake Ray Turbine",1300,"Very Good",35.0995323,-92.440677
"copenhagen-denmark-100700","<a href='https://www.dischord.com/fugazi_live_series/copenhagen-denmark-100700' target='_blank'>copenhagen-denmark-100700</a>",2000,"2000 Fall Northern European Tour",2000-10-07,"Loppen","Copenhagen","Denmark","Barrahead",450,"Excellent",55.673854,12.597078
"copenhagen-denmark-102288","<a href='https://www.dischord.com/fugazi_live_series/copenhagen-denmark-102288' target='_blank'>copenhagen-denmark-102288</a>",1988,"1988 Fall European Tour",1988-10-22,"Ungdomshuset","Copenhagen","Denmark","Empty Wallets",199,NA,55.6938539,12.5481
"copenhagen-denmark-70492","<a href='https://www.dischord.com/fugazi_live_series/copenhagen-denmark-70492' target='_blank'>copenhagen-denmark-70492</a>",1992,"1992 Spring European Tour",1992-07-04,"Ungdomshuset","Copenhagen","Denmark","Chippendales",500,"Good",55.6938539,12.5481
"copenhagen-denmark-71095","<a href='https://www.dischord.com/fugazi_live_series/copenhagen-denmark-71095' target='_blank'>copenhagen-denmark-71095</a>",1995,"1995 Spring/Summer European Tour",1995-07-10,"Rockmaskinen","Copenhagen","Denmark",NA,400,"Excellent",55.6737142,12.599485
"copenhagen-denmark-92790","<a href='https://www.dischord.com/fugazi_live_series/copenhagen-denmark-92790' target='_blank'>copenhagen-denmark-92790</a>",1990,"1990 Fall European Tour",1990-09-27,"Ungdomshuset","Copenhagen","Denmark","2000 DS",500,"Good",55.6938539,12.5481
"copenhagen-denmark-92790","<a href='https://www.dischord.com/fugazi_live_series/copenhagen-denmark-92790' target='_blank'>copenhagen-denmark-92790</a>",1990,"1990 Fall European Tour",1990-09-27,"Ungdomshuset","Copenhagen","Denmark","False Prophets",500,"Good",55.6938539,12.5481
"copenhagen-denmark-92790","<a href='https://www.dischord.com/fugazi_live_series/copenhagen-denmark-92790' target='_blank'>copenhagen-denmark-92790</a>",1990,"1990 Fall European Tour",1990-09-27,"Ungdomshuset","Copenhagen","Denmark","MDC",500,"Good",55.6938539,12.5481
"copenhagen-denmark-92790","<a href='https://www.dischord.com/fugazi_live_series/copenhagen-denmark-92790' target='_blank'>copenhagen-denmark-92790</a>",1990,"1990 Fall European Tour",1990-09-27,"Ungdomshuset","Copenhagen","Denmark","Ravings",500,"Good",55.6938539,12.5481
"cork-ireland-50899","<a href='https://www.dischord.com/fugazi_live_series/cork-ireland-50899' target='_blank'>cork-ireland-50899</a>",1999,"1999 Spring UK/Ireland Tour",1999-05-08,"Nancy Spains","Cork","Ireland","Calixicon",400,"Very Good",51.8933989,-8.478298
"croydon-vic-australia-101991","<a href='https://www.dischord.com/fugazi_live_series/croydon-vic-australia-101991' target='_blank'>croydon-vic-australia-101991</a>",1991,"1991 Australia/New Zealand/Japan Tour",1991-10-19,"The Hull","Croydon","Australia","Dweebs",500,"Very Good",-37.7958944,145.29037
"croydon-vic-australia-101991","<a href='https://www.dischord.com/fugazi_live_series/croydon-vic-australia-101991' target='_blank'>croydon-vic-australia-101991</a>",1991,"1991 Australia/New Zealand/Japan Tour",1991-10-19,"The Hull","Croydon","Australia","Nursery Crimes",500,"Very Good",-37.7958944,145.29037
"croydon-vic-australia-111293","<a href='https://www.dischord.com/fugazi_live_series/croydon-vic-australia-111293' target='_blank'>croydon-vic-australia-111293</a>",1993,"1993 Japan/Australia/New Zealand Tour",1993-11-12,"EV's","Croydon","Australia","Aquanuggets",750,"Good",-37.7994161,145.281955
"croydon-vic-australia-111293","<a href='https://www.dischord.com/fugazi_live_series/croydon-vic-australia-111293' target='_blank'>croydon-vic-australia-111293</a>",1993,"1993 Japan/Australia/New Zealand Tour",1993-11-12,"EV's","Croydon","Australia","Noise Addicts",750,"Good",-37.7994161,145.281955
"croydon-vic-australia-111293","<a href='https://www.dischord.com/fugazi_live_series/croydon-vic-australia-111293' target='_blank'>croydon-vic-australia-111293</a>",1993,"1993 Japan/Australia/New Zealand Tour",1993-11-12,"EV's","Croydon","Australia","Spiderbait",750,"Good",-37.7994161,145.281955
"curitiba-brazil-81497","<a href='https://www.dischord.com/fugazi_live_series/curitiba-brazil-81497' target='_blank'>curitiba-brazil-81497</a>",1997,"1997 Summer Brazil/S. America Tour",1997-08-14,"92 Graus","Curitiba","Brazil","Magneticos",600,"Good",-25.4248241,-49.28373
"curitiba-brazil-82594","<a href='https://www.dischord.com/fugazi_live_series/curitiba-brazil-82594' target='_blank'>curitiba-brazil-82594</a>",1994,"1994 Fall Brazil Tour",1994-08-25,"92 Graus","Curitiba","Brazil","Andes De Jardem",200,"Very Good",-25.4248241,-49.28373
"curitiba-brazil-82594","<a href='https://www.dischord.com/fugazi_live_series/curitiba-brazil-82594' target='_blank'>curitiba-brazil-82594</a>",1994,"1994 Fall Brazil Tour",1994-08-25,"92 Graus","Curitiba","Brazil","Intruders",200,"Very Good",-25.4248241,-49.28373
"curitiba-brazil-82594","<a href='https://www.dischord.com/fugazi_live_series/curitiba-brazil-82594' target='_blank'>curitiba-brazil-82594</a>",1994,"1994 Fall Brazil Tour",1994-08-25,"92 Graus","Curitiba","Brazil","Missionarios",200,"Very Good",-25.4248241,-49.28373
"curitiba-brazil-82694","<a href='https://www.dischord.com/fugazi_live_series/curitiba-brazil-82694' target='_blank'>curitiba-brazil-82694</a>",1994,"1994 Fall Brazil Tour",1994-08-26,"92 Graus","Curitiba","Brazil","Anões de Jardim",300,"Very Good",-25.4248241,-49.28373
"curitiba-brazil-82694","<a href='https://www.dischord.com/fugazi_live_series/curitiba-brazil-82694' target='_blank'>curitiba-brazil-82694</a>",1994,"1994 Fall Brazil Tour",1994-08-26,"92 Graus","Curitiba","Brazil","Intruders",300,"Very Good",-25.4248241,-49.28373
"curitiba-brazil-82694","<a href='https://www.dischord.com/fugazi_live_series/curitiba-brazil-82694' target='_blank'>curitiba-brazil-82694</a>",1994,"1994 Fall Brazil Tour",1994-08-26,"92 Graus","Curitiba","Brazil","Missionarios",300,"Very Good",-25.4248241,-49.28373
"curitiba-brazil-82794","<a href='https://www.dischord.com/fugazi_live_series/curitiba-brazil-82794' target='_blank'>curitiba-brazil-82794</a>",1994,"1994 Fall Brazil Tour",1994-08-27,"92 Graus","Curitiba","Brazil","Magog",75,"Good",-25.4248241,-49.28373
"curitiba-brazil-82794","<a href='https://www.dischord.com/fugazi_live_series/curitiba-brazil-82794' target='_blank'>curitiba-brazil-82794</a>",1994,"1994 Fall Brazil Tour",1994-08-27,"92 Graus","Curitiba","Brazil","Publico Opinion",75,"Good",-25.4248241,-49.28373
"dallas-tx-usa-111995","<a href='https://www.dischord.com/fugazi_live_series/dallas-tx-usa-111995' target='_blank'>dallas-tx-usa-111995</a>",1995,"1995 Fall USA/Canada Tour",1995-11-19,"Bomb Factory","Dallas","USA","Baboon",1400,"Good",32.782355,-96.783802
"dallas-tx-usa-111995","<a href='https://www.dischord.com/fugazi_live_series/dallas-tx-usa-111995' target='_blank'>dallas-tx-usa-111995</a>",1995,"1995 Fall USA/Canada Tour",1995-11-19,"Bomb Factory","Dallas","USA","Blonde Redhead",1400,"Good",32.782355,-96.783802
"dallas-tx-usa-112398","<a href='https://www.dischord.com/fugazi_live_series/dallas-tx-usa-112398' target='_blank'>dallas-tx-usa-112398</a>",1998,"1998 Fall Mid-West USA Tour",1998-11-23,"Galaxy","Dallas","USA","Swivel",700,"Very Good",32.7829848,-96.782657
"dallas-tx-usa-41693","<a href='https://www.dischord.com/fugazi_live_series/dallas-tx-usa-41693' target='_blank'>dallas-tx-usa-41693</a>",1993,"1993 Spring USA Tour",1993-04-16,"Bomb Factory","Dallas","USA","Bedhead",2000,"Good",32.782355,-96.783802
"dallas-tx-usa-41693","<a href='https://www.dischord.com/fugazi_live_series/dallas-tx-usa-41693' target='_blank'>dallas-tx-usa-41693</a>",1993,"1993 Spring USA Tour",1993-04-16,"Bomb Factory","Dallas","USA","Wayward Girl",2000,"Good",32.782355,-96.783802
"dallas-tx-usa-50490","<a href='https://www.dischord.com/fugazi_live_series/dallas-tx-usa-50490' target='_blank'>dallas-tx-usa-50490</a>",1990,"1990 Spring/Summer USA Tour",1990-05-04,"2301 Canton Warehouse","Dallas","USA","Last Rites",700,"Very Good",32.7812264,-96.78843
"dallas-tx-usa-52491","<a href='https://www.dischord.com/fugazi_live_series/dallas-tx-usa-52491' target='_blank'>dallas-tx-usa-52491</a>",1991,"1991 Spring USA Tour",1991-05-24,"Deep Ellum Live","Dallas","USA","Agitators",1200,"Good",32.782476,-96.783249
"dallas-tx-usa-52988","<a href='https://www.dischord.com/fugazi_live_series/dallas-tx-usa-52988' target='_blank'>dallas-tx-usa-52988</a>",1988,"1988 Spring USA Tour",1988-05-29,"Honest Place","Dallas","USA","Last Rites",200,NA,32.784705,-96.7747
"darwin-australia-62597","<a href='https://www.dischord.com/fugazi_live_series/darwin-australia-62597' target='_blank'>darwin-australia-62597</a>",1997,"1997 Summer Australia/New Zealand Tour",1997-06-25,"Time Tavern","Darwin","Australia",NA,968,"Very Good",-12.461839,130.8411
"dayton-oh-usa-100495","<a href='https://www.dischord.com/fugazi_live_series/dayton-oh-usa-100495' target='_blank'>dayton-oh-usa-100495</a>",1995,"1995 Fall USA/Canada Tour",1995-10-04,"1470 West","Dayton","USA","Make Up",826,"Good",39.7080824,-84.200409
"dayton-oh-usa-100495","<a href='https://www.dischord.com/fugazi_live_series/dayton-oh-usa-100495' target='_blank'>dayton-oh-usa-100495</a>",1995,"1995 Fall USA/Canada Tour",1995-10-04,"1470 West","Dayton","USA","Trusty",826,"Good",39.7080824,-84.200409
"dayton-oh-usa-61191","<a href='https://www.dischord.com/fugazi_live_series/dayton-oh-usa-61191' target='_blank'>dayton-oh-usa-61191</a>",1991,"1991 Spring USA Tour",1991-06-11,"Electrician's Hall","Dayton","USA","Dryrot",400,"Good",39.7687738,-84.138792
"dayton-oh-usa-61191","<a href='https://www.dischord.com/fugazi_live_series/dayton-oh-usa-61191' target='_blank'>dayton-oh-usa-61191</a>",1991,"1991 Spring USA Tour",1991-06-11,"Electrician's Hall","Dayton","USA","Method",400,"Good",39.7687738,-84.138792
"dayton-oh-usa-61191","<a href='https://www.dischord.com/fugazi_live_series/dayton-oh-usa-61191' target='_blank'>dayton-oh-usa-61191</a>",1991,"1991 Spring USA Tour",1991-06-11,"Electrician's Hall","Dayton","USA","Stronghold",400,"Good",39.7687738,-84.138792
"dayton-oh-usa-62790","<a href='https://www.dischord.com/fugazi_live_series/dayton-oh-usa-62790' target='_blank'>dayton-oh-usa-62790</a>",1990,"1990 Spring/Summer USA Tour",1990-06-27,"Electrician's Hall","Dayton","USA","Dryrot",600,"Poor",39.7687738,-84.138792
"dayton-oh-usa-62790","<a href='https://www.dischord.com/fugazi_live_series/dayton-oh-usa-62790' target='_blank'>dayton-oh-usa-62790</a>",1990,"1990 Spring/Summer USA Tour",1990-06-27,"Electrician's Hall","Dayton","USA","Fifteen",600,"Poor",39.7687738,-84.138792
"dayton-oh-usa-82193","<a href='https://www.dischord.com/fugazi_live_series/dayton-oh-usa-82193' target='_blank'>dayton-oh-usa-82193</a>",1993,"1993 Fall USA/Canada Tour",1993-08-21,"Dayton Fest / Brookwood Island","Dayton","USA","Cage",850,"Very Good",39.8237884,-84.171412
"dayton-oh-usa-82193","<a href='https://www.dischord.com/fugazi_live_series/dayton-oh-usa-82193' target='_blank'>dayton-oh-usa-82193</a>",1993,"1993 Fall USA/Canada Tour",1993-08-21,"Dayton Fest / Brookwood Island","Dayton","USA","Fifteen",850,"Very Good",39.8237884,-84.171412
"dayton-oh-usa-82193","<a href='https://www.dischord.com/fugazi_live_series/dayton-oh-usa-82193' target='_blank'>dayton-oh-usa-82193</a>",1993,"1993 Fall USA/Canada Tour",1993-08-21,"Dayton Fest / Brookwood Island","Dayton","USA","and others",850,"Very Good",39.8237884,-84.171412
"den-bosch-netherlands-52192","<a href='https://www.dischord.com/fugazi_live_series/den-bosch-netherlands-52192' target='_blank'>den-bosch-netherlands-52192</a>",1992,"1992 Spring European Tour",1992-05-21,"William II","Den Bosch","Netherlands","Girls Vs. Boys",350,"Very Good",51.6954536,5.296965
"den-haag-netherlands-52492","<a href='https://www.dischord.com/fugazi_live_series/den-haag-netherlands-52492' target='_blank'>den-haag-netherlands-52492</a>",1992,"1992 Spring European Tour",1992-05-24,"Paard","Den Haag","Netherlands","Girls Vs. Boys",350,"Good",52.0747375,4.307658
"denver-co-usa-102295","<a href='https://www.dischord.com/fugazi_live_series/denver-co-usa-102295' target='_blank'>denver-co-usa-102295</a>",1995,"1995 Fall USA/Canada Tour",1995-10-22,"Mammoth Events Center","Denver","USA","Air Miami",2000,"Good",39.7405866,-104.977011
"denver-co-usa-102295","<a href='https://www.dischord.com/fugazi_live_series/denver-co-usa-102295' target='_blank'>denver-co-usa-102295</a>",1995,"1995 Fall USA/Canada Tour",1995-10-22,"Mammoth Events Center","Denver","USA","God Is My Co-Pilot",2000,"Good",39.7405866,-104.977011
"denver-co-usa-40501","<a href='https://www.dischord.com/fugazi_live_series/denver-co-usa-40501' target='_blank'>denver-co-usa-40501</a>",2001,"2001 Spring Western USA Tour",2001-04-05,"Ogden Theater","Denver","USA","Family of Discordia",1200,"Very Good",39.7402948,-104.975302
"denver-co-usa-40601","<a href='https://www.dischord.com/fugazi_live_series/denver-co-usa-40601' target='_blank'>denver-co-usa-40601</a>",2001,"2001 Spring Western USA Tour",2001-04-06,"Ogden Theater","Denver","USA","Sin Desires Marie",1200,"Excellent",39.7402948,-104.975302
"denver-co-usa-40601","<a href='https://www.dischord.com/fugazi_live_series/denver-co-usa-40601' target='_blank'>denver-co-usa-40601</a>",2001,"2001 Spring Western USA Tour",2001-04-06,"Ogden Theater","Denver","USA","Still left Standing",1200,"Excellent",39.7402948,-104.975302
"denver-co-usa-51893","<a href='https://www.dischord.com/fugazi_live_series/denver-co-usa-51893' target='_blank'>denver-co-usa-51893</a>",1993,"1993 Spring USA Tour",1993-05-18,"Mammoth Events Center","Denver","USA","Belljar",2400,"Very Good",39.7405866,-104.977011
"denver-co-usa-60890","<a href='https://www.dischord.com/fugazi_live_series/denver-co-usa-60890' target='_blank'>denver-co-usa-60890</a>",1990,"1990 Spring/Summer USA Tour",1990-06-08,"Atzlan Theater","Denver","USA","Hobbledyhoy",600,"Good",39.7319029,-104.99839
"denver-co-usa-60890","<a href='https://www.dischord.com/fugazi_live_series/denver-co-usa-60890' target='_blank'>denver-co-usa-60890</a>",1990,"1990 Spring/Summer USA Tour",1990-06-08,"Atzlan Theater","Denver","USA","Keep In Mind",600,"Good",39.7319029,-104.99839
"denver-co-usa-91391","<a href='https://www.dischord.com/fugazi_live_series/denver-co-usa-91391' target='_blank'>denver-co-usa-91391</a>",1991,"1991 Summer/Fall USA/Canada Tour",1991-09-13,"Gothic Theater","Denver","USA","Lilawatt",900,"Very Good",39.6576507,-104.98806
"denver-co-usa-91391","<a href='https://www.dischord.com/fugazi_live_series/denver-co-usa-91391' target='_blank'>denver-co-usa-91391</a>",1991,"1991 Summer/Fall USA/Canada Tour",1991-09-13,"Gothic Theater","Denver","USA","Savalas",900,"Very Good",39.6576507,-104.98806
"derry-northern-ireland-102702","<a href='https://www.dischord.com/fugazi_live_series/derry-northern-ireland-102702' target='_blank'>derry-northern-ireland-102702</a>",2002,"2002 Fall UK/Ireland Tour",2002-10-27,"Nerve Centre","Derry","Northern Ireland","Tracer AMC",1619,"Very Good",54.9964781,-7.32452
"des-moines-ia-usa-111698","<a href='https://www.dischord.com/fugazi_live_series/des-moines-ia-usa-111698' target='_blank'>des-moines-ia-usa-111698</a>",1998,"1998 Fall Mid-West USA Tour",1998-11-16,"Safari Club","Des Moines","USA","At The Drive In",500,"Very Good",41.6006406,-93.6487
"des-moines-ia-usa-111698","<a href='https://www.dischord.com/fugazi_live_series/des-moines-ia-usa-111698' target='_blank'>des-moines-ia-usa-111698</a>",1998,"1998 Fall Mid-West USA Tour",1998-11-16,"Safari Club","Des Moines","USA","Squid Boy",500,"Very Good",41.6006406,-93.6487
"des-moines-ia-usa-52293","<a href='https://www.dischord.com/fugazi_live_series/des-moines-ia-usa-52293' target='_blank'>des-moines-ia-usa-52293</a>",1993,"1993 Spring USA Tour",1993-05-22,"Hairy Mary's","Des Moines","USA","Unrest",700,"Good",41.6006406,-93.6487
"detroit-mi-usa-100195","<a href='https://www.dischord.com/fugazi_live_series/detroit-mi-usa-100195' target='_blank'>detroit-mi-usa-100195</a>",1995,"1995 Fall USA/Canada Tour",1995-10-01,"State Theater","Detroit","USA","Branch Manager",3000,"Good",42.3378093,-83.051726
"detroit-mi-usa-100195","<a href='https://www.dischord.com/fugazi_live_series/detroit-mi-usa-100195' target='_blank'>detroit-mi-usa-100195</a>",1995,"1995 Fall USA/Canada Tour",1995-10-01,"State Theater","Detroit","USA","Make Up",3000,"Good",42.3378093,-83.051726
"detroit-mi-usa-50998","<a href='https://www.dischord.com/fugazi_live_series/detroit-mi-usa-50998' target='_blank'>detroit-mi-usa-50998</a>",1998,"1998 Spring USA Tour",1998-05-09,"State Theater","Detroit","USA","Blonde Redhead",2400,"Very Good",42.3378093,-83.051726
"detroit-mi-usa-50998","<a href='https://www.dischord.com/fugazi_live_series/detroit-mi-usa-50998' target='_blank'>detroit-mi-usa-50998</a>",1998,"1998 Spring USA Tour",1998-05-09,"State Theater","Detroit","USA","Shellac",2400,"Very Good",42.3378093,-83.051726
"detroit-mi-usa-62290","<a href='https://www.dischord.com/fugazi_live_series/detroit-mi-usa-62290' target='_blank'>detroit-mi-usa-62290</a>",1990,"1990 Spring/Summer USA Tour",1990-06-22,"St. Dominick's Church","Detroit","USA","Hay",700,"Poor",42.3522837,-83.077619
"detroit-mi-usa-62290","<a href='https://www.dischord.com/fugazi_live_series/detroit-mi-usa-62290' target='_blank'>detroit-mi-usa-62290</a>",1990,"1990 Spring/Summer USA Tour",1990-06-22,"St. Dominick's Church","Detroit","USA","Jawbox",700,"Poor",42.3522837,-83.077619
"detroit-mi-usa-80591","<a href='https://www.dischord.com/fugazi_live_series/detroit-mi-usa-80591' target='_blank'>detroit-mi-usa-80591</a>",1991,"1991 Summer/Fall USA/Canada Tour",1991-08-05,"Majestic Theater","Detroit","USA","Gangster Fun",1200,"Very Good",42.351443,-83.060108
"detroit-mi-usa-80591","<a href='https://www.dischord.com/fugazi_live_series/detroit-mi-usa-80591' target='_blank'>detroit-mi-usa-80591</a>",1991,"1991 Summer/Fall USA/Canada Tour",1991-08-05,"Majestic Theater","Detroit","USA","Nation of Ulysses",1200,"Very Good",42.351443,-83.060108
"diksmuide-belgium-52692","<a href='https://www.dischord.com/fugazi_live_series/diksmuide-belgium-52692' target='_blank'>diksmuide-belgium-52692</a>",1992,"1992 Spring European Tour",1992-05-26,"Boterhalle","Diksmuide","Belgium","Girls Vs. Boys",445,"Good",51.0329364,2.8643
"dornbirn-austria-101890","<a href='https://www.dischord.com/fugazi_live_series/dornbirn-austria-101890' target='_blank'>dornbirn-austria-101890</a>",1990,"1990 Fall European Tour",1990-10-18,"Stadt Halle","Dornbirn","Austria","Seven Sioux",450,"Very Good",47.4141302,9.745013
"dornbirn-austria-101890","<a href='https://www.dischord.com/fugazi_live_series/dornbirn-austria-101890' target='_blank'>dornbirn-austria-101890</a>",1990,"1990 Fall European Tour",1990-10-18,"Stadt Halle","Dornbirn","Austria","Urge",450,"Very Good",47.4141302,9.745013
"dortmund-germany-63092","<a href='https://www.dischord.com/fugazi_live_series/dortmund-germany-63092' target='_blank'>dortmund-germany-63092</a>",1992,"1992 Spring European Tour",1992-06-30,"Music Circus","Dortmund","Germany","No Twist",1300,"Very Good",51.5203443,7.488318
"dortmund-germany-63092","<a href='https://www.dischord.com/fugazi_live_series/dortmund-germany-63092' target='_blank'>dortmund-germany-63092</a>",1992,"1992 Spring European Tour",1992-06-30,"Music Circus","Dortmund","Germany","Tech Ahead",1300,"Very Good",51.5203443,7.488318
"dortmund-germany-70395","<a href='https://www.dischord.com/fugazi_live_series/dortmund-germany-70395' target='_blank'>dortmund-germany-70395</a>",1995,"1995 Spring/Summer European Tour",1995-07-03,"Soundgarden","Dortmund","Germany","Schwartzenegger",900,"Poor",51.5149691,7.480399
"dublin-ireland-102502","<a href='https://www.dischord.com/fugazi_live_series/dublin-ireland-102502' target='_blank'>dublin-ireland-102502</a>",2002,"2002 Fall UK/Ireland Tour",2002-10-25,"Red Box","Dublin","Ireland","Connect 4 Orchestra",1619,"Good",53.3334175,-6.262407
"dublin-ireland-112389","<a href='https://www.dischord.com/fugazi_live_series/dublin-ireland-112389' target='_blank'>dublin-ireland-112389</a>",1989,"1989 Fall European Tour",1989-11-23,"McGonagles","Dublin","Ireland","Not Our World",500,"Good",53.3409553,-6.258767
"dublin-ireland-112389","<a href='https://www.dischord.com/fugazi_live_series/dublin-ireland-112389' target='_blank'>dublin-ireland-112389</a>",1989,"1989 Fall European Tour",1989-11-23,"McGonagles","Dublin","Ireland","The Slowest Clock",500,"Good",53.3409553,-6.258767
"dublin-ireland-112988","<a href='https://www.dischord.com/fugazi_live_series/dublin-ireland-112988' target='_blank'>dublin-ireland-112988</a>",1988,"1988 Fall European Tour",1988-11-29,"McGonagles","Dublin","Ireland",NA,199,"Poor",53.3409553,-6.258767
"dublin-ireland-50999","<a href='https://www.dischord.com/fugazi_live_series/dublin-ireland-50999' target='_blank'>dublin-ireland-50999</a>",1999,"1999 Spring UK/Ireland Tour",1999-05-09,"Temple Bar Music Center","Dublin","Ireland","Redneck Manifesto",650,"Very Good",53.3450708,-6.264367
