"gid","fls_id","played_with"
"hannover-germany-102988","FLS0063","Bionic"
"hannover-germany-102988","FLS0063","Militant Mothers"
"bielefeld-germany-103188","FLS0065","Pygmies"
"dusseldorf-germany-110188","FLS0066","Billy & the Willies"
"homburg-germany-110388","FLS0068","Militant Mothers"
"nagold-germany-110488","FLS0069","Militant Mothers"
"nagold-germany-110488","FLS0069","NoNoYesNo"
"nagold-germany-110488","FLS0069","Too Bad"
"augsburg-germany-110588","FLS0070","Militant Mothers"
"zurich-switzerland-110888","FLS0071","Kina"
"ottobrunn-germany-110988","FLS0072","NoNoYesNo"
"ottobrunn-germany-110988","FLS0072","Target of Demand"
"ottobrunn-germany-110988","FLS0072","Yeastie Girlz"
"linz-austria-111088","FLS0073","Target of Demand"
"naples-italy-111688","FLS0076","Randall Flagg"
"milan-italy-111988","FLS0079","Impact"
"milan-italy-111988","FLS0079","Rabid Duck"
"paris-france-112288","FLS0081","Krull"
"london-england-112488","FLS0082","Exit Condition"
"london-england-112488","FLS0082","Playground"
"london-england-112488","FLS0082","Sink"
"liverpool-england-112688","FLS0083","Heresy"
"liverpool-england-112688","FLS0083","Joyce McKinney Experience"
"liverpool-england-112688","FLS0083","Rose Rose"
"nottingham-england-112788","FLS0084","Heresy"
"nottingham-england-112788","FLS0084","Rose Rose"
"nottingham-england-112788","FLS0084","Snuff"
"newport-wales-112888","FLS0085","Slow Jam"
"leeds-england-113088","FLS0087","Joyce McKinney Experience"
"leeds-england-113088","FLS0087","Karma Sutra"
"canterbury-england-120288","FLS0089","Pest Control"
"canterbury-england-120288","FLS0089","Playground"
"london-england-120588","FLS0090","Beatnigs"
"london-england-120588","FLS0090","God"
"eindhoven-netherlands-121688","FLS0091","Beatnigs"
"washington-dc-usa-122988","FLS0092","Raincrow"
"washington-dc-usa-122988","FLS0092","Soulside"
"washington-dc-usa-122988","FLS0092","Verbal Assault"
"frederick-md-usa-11389","FLS0093","Fire Party"
"frederick-md-usa-11389","FLS0093","Ignition"
"frederick-md-usa-11389","FLS0093","Why?"
"washington-dc-usa-12689","FLS0094","Jackhammer Orchestra"
"washington-dc-usa-12689","FLS0094","Nation of Ulysses"
"washington-dc-usa-32489","FLS0095","Edsel"
"washington-dc-usa-32489","FLS0095","Holy Rollers"
"washington-dc-usa-32489","FLS0095","Swiz"
"new-york-ny-usa-40589","FLS0096","Edsel"
"new-york-ny-usa-40589","FLS0096","Manifesto"
"norwalk-ct-usa-40789","FLS0098","Heads Up"
"norwalk-ct-usa-40789","FLS0098","Purple Geezus"
"hoboken-nj-usa-40989","FLS0100","The Blisters"
"morgantown-wv-usa-42889","FLS0101","Grizzly Fiction"
"richmond-va-usa-43089","FLS0102","Alternatives"
"richmond-va-usa-43089","FLS0102","Burma Jam"
"richmond-va-usa-43089","FLS0102","Butter Glove"
"chapel-hill-nc-usa-50189","FLS0103","Mallethead"
"chapel-hill-nc-usa-50189","FLS0103","Sex Police"
"columbia-sc-usa-50289","FLS0104","Bedlam Hour"
"athens-ga-usa-50389","FLS0105","Angle Lake"
"atlanta-ga-usa-50589","FLS0106","After Words"
"atlanta-ga-usa-50589","FLS0106","Butterglove"
"gainesville-fl-usa-50689","FLS0107","Skaface"
"gainesville-fl-usa-50689","FLS0107","Stabilizer"
"gainesville-fl-usa-50689","FLS0107","Subject"
"gainesville-fl-usa-50689","FLS0107","Sweet Baby"
"lafayette-la-usa-50989","FLS0108","Otis"
"fortworth-tx-usa-51189","FLS0109","Burning Temple"
"fortworth-tx-usa-51189","FLS0109","Toadies"
"houston-tx-usa-51289","FLS0110","4 Front"
"houston-tx-usa-51289","FLS0110","Sprawl"
"austin-tx-usa-51389","FLS0111","Bad Mutha Goose"
"austin-tx-usa-51389","FLS0111","Retarded Elf"
"phoenix-az-usa-51689","FLS0112","G-Whiz"
"phoenix-az-usa-51689","FLS0112","Religious Skid"
"los-angeles-ca-usa-51889","FLS0113","Pitchfork"
"los-angeles-ca-usa-51889","FLS0113","Reason to Believe"
"berkeley-ca-usa-52089","FLS0114","Crash Worship"
"berkeley-ca-usa-52089","FLS0114","Pitchfork"
"berkeley-ca-usa-52089","FLS0114","Skinflute"
"berkeley-ca-usa-52089","FLS0114","Vagrants"
"san-francisco-ca-usa-52189","FLS0115","4 Poets"
"san-francisco-ca-usa-52189","FLS0115","Boxcar Darla"
"san-francisco-ca-usa-52189","FLS0115","Operation Ivy"
"san-francisco-ca-usa-52189","FLS0115","Swollen Boss Toad"
"olympia-wa-usa-52689","FLS0116","Beat Happening"
"seattle-wa-usa-52789","FLS0117","Beat Happening"
"salt-lake-city-ut-usa-60189","FLS0118","Draize-Method"
"salt-lake-city-ut-usa-60189","FLS0118","House of Cards"
"salt-lake-city-ut-usa-60189","FLS0118","Leadfellow"
"omaha-ne-usa-60389","FLS0119","Full Force"
"omaha-ne-usa-60389","FLS0119","Insurgence"
"omaha-ne-usa-60389","FLS0119","X-Factor"
"lawrence-ks-usa-60489","FLS0120","Sin City Disciples"
"lawrence-ks-usa-60489","FLS0120","Three Legged Dog"
"lawrence-ks-usa-60489","FLS0120","Ultraman"
"st-louis-mo-usa-60589","FLS0121","Judge Nothing"
"st-louis-mo-usa-60589","FLS0121","Nine Lives"
"champaign-il-usa-60789","FLS0122","Didjits"
"champaign-il-usa-60789","FLS0122","Sixteen Tons"
"rockford-il-usa-60889","FLS0123","Becky's Birthday"
"milwaukee-wi-usa-60989","FLS0124","911"
"milwaukee-wi-usa-60989","FLS0124","Chris Twining"
"milwaukee-wi-usa-60989","FLS0124","Jesus Manson"
"chicago-il-usa-61089","FLS0125","Defoilants"
"chicago-il-usa-61089","FLS0125","Groove Diggers"
"minneapolis-mn-usa-61189","FLS0126","Iowa Beef Experience"
"green-bay-wi-usa-61289","FLS0127","Rosary"
"green-bay-wi-usa-61289","FLS0127","Slow Children"
"toledo-oh-usa-61489","FLS0128","Herb Tarlicks"
"toledo-oh-usa-61489","FLS0128","Outface"
"cleveland-oh-usa-61589","FLS0129","Knifedance"
"cleveland-oh-usa-61589","FLS0129","Sacred Hate"
"pittsburgh-pa-usa-61689","FLS0130","Pleasureheads"
"washington-dc-usa-62289","FLS0131","Fidelity Jones"
"washington-dc-usa-62289","FLS0131","Ignition"
"washington-dc-usa-62289","FLS0131","Red Emma"
"washington-dc-usa-71989","FLS0132","Bad Mutha Goose"
"washington-dc-usa-72089","FLS0133","Bad Mutha Goose"
"washington-dc-usa-82889","FLS0134","Ignobles"
"washington-dc-usa-82889","FLS0134","Soulside"
"washington-dc-usa-92289","FLS0135","Jawbox"
"washington-dc-usa-92289","FLS0135","Shudder to Think"
"philadelphia-pa-usa-92389","FLS0136","Scram"
"philadelphia-pa-usa-92389","FLS0136","Two Hundred Stitches"
"lancaster-pa-usa-92489","FLS0137","Passed"
"lancaster-pa-usa-92489","FLS0137","Stand Up"
"new-brunswick-nj-usa-92589","FLS0138","Bouncing Souls"
"new-brunswick-nj-usa-92589","FLS0138","Chickenscratch"
